2023-04-27 06:07:42 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-04-27 06:07:42 [main] INFO  c.c.e.EmployeeManagementSystemApplication - Starting EmployeeManagementSystemApplication using Java 17.0.6 on DESKTOP-N096LP5 with PID 11628 (F:\java\Capstone\employee-management-system\bin\main started by ALENS in F:\java\Capstone\employee-management-system)
2023-04-27 06:07:42 [main] INFO  c.c.e.EmployeeManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-27 06:07:43 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-27 06:07:43 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 1 JPA repository interfaces.
2023-04-27 06:07:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8445 (https)
2023-04-27 06:07:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8445"]
2023-04-27 06:07:44 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-27 06:07:44 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-04-27 06:07:45 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-27 06:07:45 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2911 ms
2023-04-27 06:07:45 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-27 06:07:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-04-27 06:07:46 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-04-27 06:07:46 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-27 06:07:47 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-27 06:07:47 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2023-04-27 06:07:49 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-04-27 06:07:49 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-27 06:07:50 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-27 06:07:52 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8445"]
2023-04-27 06:07:53 [main] INFO  o.a.t.u.net.NioEndpoint.certificate - Connector [https-jsse-nio-8445], TLS virtual host [_default_], certificate type [UNDEFINED] configured from [file:/F:/java/Capstone/employee-management-system/bin/main/keystore.p12] using alias [mydomain] and with trust store [null]
2023-04-27 06:07:53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8445 (https) with context path ''
2023-04-27 06:07:53 [main] INFO  c.c.e.EmployeeManagementSystemApplication - Started EmployeeManagementSystemApplication in 12.625 seconds (JVM running for 16.311)
2023-04-27 06:08:04 [https-jsse-nio-8445-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-27 06:08:04 [https-jsse-nio-8445-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-27 06:08:04 [https-jsse-nio-8445-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-27 06:08:05 [https-jsse-nio-8445-exec-6] INFO  c.c.e.controller.EmployeeController - getEmployeeByID(101) is called 
2023-04-27 06:08:07 [https-jsse-nio-8445-exec-7] INFO  c.c.e.controller.EmployeeController - getEmployeeByID(101) is called 
2023-04-27 06:08:59 [https-jsse-nio-8445-exec-9] INFO  c.c.e.controller.EmployeeController - getEmployeeByID(101) is called 
2023-04-27 06:09:05 [https-jsse-nio-8445-exec-10] INFO  c.c.e.controller.EmployeeController - getEmployeeByID(102) is called 
2023-04-27 06:09:54 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.capstone.employee.EmployeeManagementSystemApplicationTests], using SpringBootContextLoader
2023-04-27 06:09:54 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.capstone.employee.EmployeeManagementSystemApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-04-27 06:09:54 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.capstone.employee.EmployeeManagementSystemApplicationTests]: EmployeeManagementSystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-04-27 06:09:55 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.capstone.employee.EmployeeManagementSystemApplication for test class com.capstone.employee.EmployeeManagementSystemApplicationTests
